country,nowConfirm
不丹,4
东帝汶,1
中国,2372
丹麦,2579
乌克兰,463
乌兹别克斯坦,140
乌干达,33
乌拉圭,302
乍得,5
亚美尼亚,448
以色列,4193
伊拉克,362
伊朗,27052
伯利兹,2
佛得角,5
俄罗斯,1761
保加利亚,306
克罗地亚,652
冈比亚,3
冰岛,883
几内亚,15
几内亚比绍,2
利比里亚,3
加拿大,26661
加纳,145
加蓬,6
匈牙利,398
南非,1247
卡塔尔,585
卢旺达,70
卢森堡,1926
印度,943
印度尼西亚,1217
危地马拉,23
厄瓜多尔,1863
厄立特里亚,12
叙利亚,9
古巴,112
吉布提,25
哈萨克斯坦,280
哥伦比亚,177312
哥斯达黎加,290
喀麦隆,131
土耳其,8981
圭亚那,21
坦桑尼亚,18
埃及,437
埃塞俄比亚,21
塞内加尔,134
塞尔维亚,7259
塞浦路斯,193
塞舌尔,8
墨西哥,969
多哥,22
多米尼加,1710
奥地利,5080
委内瑞拉,78
安哥拉,5
安提瓜和巴布达,7
尼加拉瓜,3
尼日利亚,107
尼日尔,17
尼泊尔,4
巴勒斯坦,87
巴基斯坦,1576
巴布亚新几内亚,1
巴拉圭,60
巴拿马,961
巴林,232
巴西,4114
布基纳法索,187
希腊,1066
德国,54158
意大利,73880
拉脱维亚,346
挪威,4251
捷克,2790
摩尔多瓦,227
摩洛哥,476
文莱,88
斯威士兰,9
斯洛伐克,334
斯洛文尼亚,665
斯里兰卡,110
新加坡,648
新西兰,532
日本本土,1300
智利,2285
柬埔寨,82
格鲁吉亚,80
比利时,9859
毛里塔尼亚,3
毛里求斯,105
沙特阿拉伯,1330
法国,2166003
波兰,1872
泰国,1388
津巴布韦,6
洪都拉斯,135
海地,8
澳大利亚,3983
爱尔兰,2564
爱沙尼亚,624
玻利维亚,81
瑞典,3574
瑞士,13391
白俄罗斯,62
科威特,194
科特迪瓦,160
秘鲁,230663
突尼斯,302
立陶宛,452
索马里,3
约旦,238
纳米比亚,11
缅甸,19
罗马尼亚,1700
美国,8187367
老挝,8
肯尼亚,48
芬兰,1219
苏丹,5
苏里南,8
英国,90011
荷兰,10697
莫桑比克,8
菲律宾,1426
葡萄牙,6225
蒙古,12
西班牙,489616
贝宁,6
赞比亚,35
赤道几内亚,14
越南,142
阿塞拜疆,547
阿富汗,139
阿尔及利亚,448
阿尔巴尼亚,169
阿曼,150
阿根廷,668
韩国,3979
马来西亚,2110
马耳他,147
马达加斯加,43
马里,23
黎巴嫩,403
黑山,84
